ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"186.47.82.62","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","188","Corporacion Nacional De Telecomunicaciones - CNT EP","53523","socks4","717","1","2023-07-30T17:35:32.533Z","98","3067","3121"
"80.191.169.81","elite","AS58224","IR","Information Technology Company","198","Azad University of Anar","4145","socks4","4794","1","2023-07-30T17:35:32.446Z","90","2863","3174"
"41.79.149.161","elite","AS37403","ZA","Info-Gro (PTY) Ltd","200","Info-Gro (PTY) Ltd","5678","socks4","5007","1","2023-07-30T17:35:32.449Z","99","3124","3145"
"202.44.228.79","elite","AS4618","TH","Internet Thailand Company Ltd.","197","Internet Thailand Company Limited","4153","socks4","4795","1","2023-07-30T17:35:32.448Z","21","647","3133"
"202.165.47.65","elite","AS17538","ID","Circlecom","197","N/A","5678","socks4","702","1","2023-07-30T17:35:32.447Z","99","3111","3133"
"178.212.49.96","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","101","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","2002","1","2023-07-30T17:35:32.547Z","99","2994","3033"
"190.15.252.205","elite","AS27881","AR","Ipnext S.A.","234","Feroglio Julia Elena","3629","socks4","4808","1","2023-07-30T17:35:32.444Z","94","2968","3153"
"110.78.149.161","elite","AS131090","TH","CAT-BB","177","N/A","5678","socks4","4801","1","2023-07-30T17:35:32.445Z","64","2023","3154"
"195.14.22.173","elite","AS41653","FR","Aqua Ray SAS","2","Aqua Ray","80","socks4","5094","1","2023-07-30T17:35:32.545Z","100","3046","3047"
"121.225.16.146","elite","AS4134","CN","Chinanet","192","Chinanet JS","23456","socks5","4809","1","2023-07-30T17:35:29.247Z","63","1945","3080"
"177.93.78.9","elite","AS263163","BR","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","296","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","26316","socks5","5201","1","2023-07-30T17:35:29.242Z","97","3042","3142"
"47.242.232.206","elite","AS45102","HK","Alibaba.com LLC","248","Hong Kong","39426","socks5","2130","1","2023-07-30T17:35:29.248Z","97","3067","3157"
"45.7.177.255","elite","AS266626","BR","Litoral Telecom","205","Litoral Telecom","39867","socks4","5094","2","2023-07-30T17:35:29.246Z","95","2931","3093"
"95.217.222.213","elite","AS24940","FI","Hetzner Online GmbH","37","HETZNER-DC","6969","socks4","2502","1","2023-07-30T17:35:29.346Z","92","2898","3147"
